PersonId,DoBAssigned,Sex
689,1949-01-01,Female
690,1952-01-01,Male
691,1975-01-01,Male
692,1967-01-01,Female
693,1920-01-01,Male
694,1972-01-01,Male
695,1964-01-01,Male
696,1993-01-01,Female
697,1966-01-01,Female
698,1972-01-01,Male
699,1969-01-01,Male
700,1961-01-01,Female
701,1919-01-01,Female
702,1967-01-01,Male
703,1942-01-01,Male
704,1985-01-01,Female
705,1999-01-01,Female
706,1968-01-01,Female
707,1906-01-01,Female
708,1984-01-01,Male
709,1969-01-01,Female
710,1987-01-01,Male
711,1930-01-01,Female
712,1989-01-01,Male
713,1988-01-01,Male
714,1989-01-01,Male
715,1998-01-01,Male
716,1968-01-01,Male
717,1961-01-01,Female
718,1913-01-01,Female
719,1969-01-01,Female
720,1997-01-01,Female
721,1977-01-01,Female
722,1946-01-01,Male
723,1972-01-01,Female
724,1980-01-01,Female
725,1987-01-01,Female
726,1977-01-01,Female
727,1925-01-01,Female
728,1999-01-01,Female
729,1959-01-01,Male
730,1944-01-01,Male
731,1995-01-01,Female
732,1979-01-01,Male
733,1965-01-01,Male
734,1948-01-01,Female
735,1949-01-01,Female
736,1946-01-01,Female
737,1971-01-01,Female
738,1972-01-01,Female
739,1962-01-01,Male
740,1964-01-01,Female
741,1914-01-01,Female
742,1958-01-01,Female
743,1974-01-01,Female
744,1986-01-01,Female
745,1987-01-01,Male
746,1947-01-01,Female
747,1996-01-01,Male
748,1980-01-01,Female
749,1940-01-01,Male
750,1957-01-01,Female
751,1999-01-01,Female
752,1936-01-01,Female
753,1997-01-01,Female
754,1980-01-01,Female
755,1983-01-01,Female
756,1999-01-01,Female
757,1969-01-01,Male
758,1994-01-01,Female
759,1934-01-01,Male
760,1975-01-01,Male
761,1977-01-01,Female
762,1975-01-01,Female
763,1969-01-01,Male
764,1983-01-01,Female
765,1984-01-01,Male
766,1996-01-01,Female
767,1969-01-01,Male
768,1957-01-01,Female
769,1992-01-01,Male
770,1999-01-01,Female
771,1965-01-01,Female
772,1967-01-01,Male
773,1968-01-01,Male
774,1994-01-01,Male
775,1970-01-01,Female
776,1965-01-01,Female
777,1997-01-01,Female
778,1937-01-01,Female
779,1954-01-01,Male
780,1965-01-01,Male
781,1963-01-01,Female
782,1974-01-01,Female
783,1995-01-01,Male
784,1966-01-01,Male
785,1988-01-01,Male
786,2000-01-01,Male
787,1969-01-01,Female
788,1939-01-01,Female
789,1992-01-01,Female
790,1987-01-01,Female
791,1966-01-01,Female
792,1997-01-01,Female
793,1939-01-01,Female
794,1955-01-01,Female
795,1955-01-01,Female
796,1998-01-01,Female
797,1997-01-01,Male
798,1958-01-01,Male
799,1981-01-01,Male
800,1974-01-01,Female
801,1973-01-01,Female
802,1952-01-01,Female
803,1998-01-01,Female
804,1960-01-01,Female
805,1957-01-01,Male
806,1965-01-01,Female
807,1961-01-01,Female
808,1969-01-01,Female
809,1971-01-01,Female
810,1951-01-01,Female
811,1957-01-01,Female
812,1965-01-01,Female
813,1997-01-01,Male
814,1922-01-01,Male
815,1946-01-01,Female
816,1957-01-01,Male
817,1960-01-01,Male
818,1989-01-01,Male
819,1989-01-01,Male
820,1992-01-01,Female
821,1978-01-01,Female
822,1943-01-01,Male
823,1948-01-01,Female
824,1999-01-01,Male
825,1926-01-01,Male
826,1951-01-01,Female
827,1948-01-01,Female
828,1990-01-01,Male
829,1956-01-01,Female
830,1969-01-01,Female
831,1997-01-01,Female
832,1979-01-01,Female
833,2001-01-01,Female
834,1977-01-01,Female
835,1956-01-01,Female
836,1967-01-01,Female
837,1988-01-01,Female
838,1960-01-01,Female
839,1975-01-01,Female
840,1987-01-01,Male
841,1936-01-01,Female
842,1963-01-01,Female
843,1937-01-01,Female
844,1996-01-01,Female
845,1999-01-01,Male
846,2000-01-01,Male
847,1954-01-01,Male
848,1956-01-01,Female
849,1957-01-01,Male
850,1952-01-01,Male
851,1985-01-01,Female
852,1985-01-01,Male
853,1971-01-01,Female
854,1959-01-01,Male
855,1998-01-01,Male
856,1959-01-01,Female
857,1995-01-01,Female
858,1996-01-01,Male
859,1966-01-01,Male
860,1977-01-01,Female
861,2000-01-01,Male
862,1973-01-01,Female
863,1981-01-01,Male
864,1987-01-01,Male
865,1997-01-01,Female
866,1958-01-01,Female
867,2000-01-01,Male
868,2001-01-01,Female
869,1996-01-01,Male
870,2001-01-01,Male
871,1976-01-01,Female
872,1965-01-01,Male
873,1941-01-01,Male
874,1966-01-01,Female
875,1991-01-01,Female
876,1998-01-01,Male
877,1955-01-01,Female
878,1989-01-01,Female
879,1980-01-01,Female
880,1999-01-01,Female
881,1921-01-01,Male
882,1995-01-01,Male
883,1945-01-01,Female
884,1978-01-01,Female
885,1963-01-01,Female
886,2001-01-01,Female
887,1989-01-01,Male
888,1967-01-01,Male
889,1997-01-01,Male
890,1945-01-01,Female
891,1930-01-01,Female
892,1993-01-01,Male
893,1987-01-01,Male
894,1946-01-01,Female
895,1997-01-01,Female
896,1969-01-01,Male
897,2000-01-01,Female
898,1997-01-01,Female
899,1981-01-01,Male
900,1981-01-01,Female
901,1983-01-01,Male
902,1978-01-01,Female
903,1976-01-01,Female
904,1980-01-01,Female
905,1939-01-01,Female
906,1987-01-01,Female
907,1995-01-01,Female
908,1989-01-01,Male
909,1977-01-01,Female
910,1963-01-01,Male
911,1973-01-01,Female
912,1980-01-01,Female
913,1962-01-01,Male
914,1949-01-01,Female
915,1970-01-01,Female
916,1967-01-01,Female
917,1961-01-01,Female
918,1984-01-01,Male
919,1973-01-01,Male
920,1972-01-01,Female
921,1920-01-01,Female
922,2001-01-01,Male
923,1963-01-01,Male
924,1976-01-01,Female
925,1965-01-01,Female
926,1954-01-01,Female
927,1997-01-01,Male
928,1961-01-01,Female
929,1939-01-01,Female
930,1943-01-01,Female
931,1962-01-01,Female
932,1959-01-01,Male
933,1960-01-01,Female
934,1953-01-01,Female
935,1991-01-01,Male
936,1960-01-01,Male
937,1931-01-01,Male
938,1988-01-01,Female
939,1995-01-01,Female
940,1995-01-01,Male
941,1972-01-01,Male
942,1956-01-01,Female
943,1989-01-01,Male
944,1996-01-01,Male
945,1970-01-01,Female
946,1997-01-01,Male
947,1994-01-01,Male
948,1961-01-01,Female
949,1998-01-01,Male
950,1915-01-01,Female
951,1973-01-01,Male
952,1997-01-01,Female
953,1996-01-01,Female
954,1970-01-01,Male
955,1965-01-01,Male
956,1950-01-01,Male
957,1978-01-01,Female
958,1972-01-01,Female
959,1979-01-01,Male
960,1949-01-01,Female
961,1986-01-01,Female
962,1960-01-01,Female
963,1978-01-01,Male
964,1938-01-01,Female
965,1960-01-01,Male
966,1948-01-01,Female
967,1987-01-01,Female
968,1966-01-01,Male
969,1979-01-01,Female
970,1993-01-01,Female
971,1998-01-01,Male
972,1990-01-01,Female
973,1980-01-01,Female
974,1963-01-01,Male
975,1992-01-01,Male
976,1990-01-01,Female
977,1970-01-01,Male
978,1960-01-01,Female
979,1997-01-01,Female
980,2001-01-01,Male
981,1968-01-01,Female
982,1938-01-01,Female
983,1997-01-01,Male
984,1994-01-01,Female
985,1964-01-01,Female
986,1962-01-01,Female
987,1962-01-01,Female
988,1996-01-01,Male
989,1945-01-01,Female
990,1931-01-01,Female
991,1994-01-01,Male
992,1970-01-01,Female
993,1962-01-01,Male
994,1922-01-01,Male
995,1971-01-01,Female
996,1979-01-01,Female
997,1988-01-01,Male
998,1920-01-01,Male
999,1963-01-01,Female
1000,1973-01-01,Male
1001,1964-01-01,Male
1002,1967-01-01,Female
1003,1956-01-01,Female
1004,1961-01-01,Male
1005,2000-01-01,Male
1006,1999-01-01,Male
1007,1961-01-01,Male
1008,1934-01-01,Male
1009,1950-01-01,Female
1010,1960-01-01,Female
1011,1974-01-01,Male
1012,1977-01-01,Male
1013,1948-01-01,Female
1014,1981-01-01,Female
1015,1964-01-01,Male
1016,1994-01-01,Female
1017,1930-01-01,Female
1018,1976-01-01,Female
1019,1943-01-01,Female
1020,1989-01-01,Male
1021,1970-01-01,Male
1022,1999-01-01,Female
1023,1969-01-01,Female
1024,1962-01-01,Female
1025,1933-01-01,Male
1026,1966-01-01,Female
1027,1970-01-01,Female
1028,1972-01-01,Female
1029,2000-01-01,Male
1030,1999-01-01,Female
1031,1962-01-01,Female
1032,1979-01-01,Female
1033,1984-01-01,Male
1034,1977-01-01,Female
1035,1970-01-01,Male
1036,1938-01-01,Male
1037,1997-01-01,Female
1038,1976-01-01,Female
1039,1947-01-01,Male
1040,1948-01-01,Male
1041,1968-01-01,Male
1042,1966-01-01,Female
1043,1989-01-01,Male
1044,1975-01-01,Male
1045,1998-01-01,Female
1046,1970-01-01,Female
1047,1973-01-01,Female
1048,1963-01-01,Male
1049,1940-01-01,Female
1050,1981-01-01,Female
1051,1961-01-01,Female
1052,1975-01-01,Male
1053,1992-01-01,Male
1054,1970-01-01,Female
1055,1981-01-01,Male
1056,1966-01-01,Female
1057,1981-01-01,Female
1058,1992-01-01,Female
1059,1970-01-01,Male
1060,1942-01-01,Male
1061,1923-01-01,Male
1062,1950-01-01,Female
1063,1980-01-01,Male
1064,1972-01-01,Female
1065,1983-01-01,Male
1066,1980-01-01,Female
1067,1989-01-01,Female
1068,1997-01-01,Female
1069,1993-01-01,Male
1070,1980-01-01,Female
1071,1990-01-01,Female
1072,1957-01-01,Female
1073,1996-01-01,Male
1074,1908-01-01,Female
1075,1970-01-01,Female
1076,1963-01-01,Female
1077,1933-01-01,Male
1078,1943-01-01,Male
1079,1932-01-01,Male
1080,1995-01-01,Female
1081,1949-01-01,Female
1082,1978-01-01,Female
1083,1964-01-01,Female
1084,1992-01-01,Female
1085,1994-01-01,Male
1086,1965-01-01,Female
1087,1985-01-01,Male
1088,1978-01-01,Male
1089,1969-01-01,Female
1090,1998-01-01,Male
1091,1987-01-01,Male
1092,1971-01-01,Female
1093,1904-01-01,Female
1094,1948-01-01,Female
1095,1975-01-01,Female
1096,1976-01-01,Male
1097,1999-01-01,Female
1098,1957-01-01,Female
1099,1970-01-01,Male
1100,1979-01-01,Male
1101,1955-01-01,Female
1102,1989-01-01,Female
1103,1999-01-01,Female
1104,1985-01-01,Female
1105,1974-01-01,Male
1106,1972-01-01,Female
1107,1968-01-01,Male
1108,1979-01-01,Male
1109,1954-01-01,Male
1110,1919-01-01,Male
1111,1977-01-01,Female
1112,1942-01-01,Female
1113,1995-01-01,Female
1114,1964-01-01,Female
1115,1959-01-01,Male
1116,1932-01-01,Female
1117,1997-01-01,Male
1118,1967-01-01,Female
1119,1974-01-01,Female
1120,1988-01-01,Male
1121,1970-01-01,Female
1122,1999-01-01,Female
1123,1971-01-01,Female
1124,1930-01-01,Female
1125,1998-01-01,Male
1126,1973-01-01,Female
1127,1965-01-01,Female
1128,1979-01-01,Female
1129,1992-01-01,Male
1130,1976-01-01,Female
1131,1961-01-01,Female
1132,1954-01-01,Male
1133,1968-01-01,Male
1134,1927-01-01,Female
1135,1991-01-01,Male
1136,1971-01-01,Male
1137,1984-01-01,Female
1138,1984-01-01,Female
1139,1999-01-01,Male
1140,1967-01-01,Male
1141,1963-01-01,Male
1142,2001-01-01,Male
1143,1971-01-01,Male
1144,1973-01-01,Female
1145,1956-01-01,Female
1146,1971-01-01,Female
1147,1971-01-01,Male
1148,1936-01-01,Female
1149,1981-01-01,Female
1150,1972-01-01,Male
1151,2001-01-01,Male
